TF,TargetGene,Effect,PMID,DATABASEA,Tissue
NR2F1,APOC3,Unknown,1639815,Trrust,liver
NR2F6,APOC3,Unknown,1639815,Trrust,liver
PPARA,APOC3,Repression,10494028,Trrust,liver
SMAD4,APOC3,Activation,10995777,Trrust,liver
SP1,APOC3,Unknown,7640286,Trrust,liver
ATF4,APOE,Activation,22028770,Trrust,"cns,kidney,liver"
FOXM1,APOE,Unknown,11229886,Trrust,liver
SP1,APOE,Unknown,11229886,Trrust,liver
NR1H3,CETP,Unknown,18562803,Trrust,liver
NR5A2,CETP,Activation,11331284,Trrust,liver
PPARA,CETP,Activation,18481130,Trrust,liver
SP1,CETP,Repression,10669650,Trrust,liver
SP3,CETP,Repression,10669650,Trrust,liver
SREBF1,CETP,Unknown,10393213,Trrust,adiposetissue
YY1,CETP,Unknown,10393213,Trrust,adiposetissue
SP1,LCAT,Unknown,9610763,Trrust,"liver,uterus"
SP3,LCAT,Unknown,9610763,Trrust,"liver,uterus"
STAT3,LCAT,Unknown,12032172,Trrust,liver
SREBF2,LDLR,Activation,16697011;17448444;21123766;22153697,Trrust,"rectum,liver,colon,kidney"
HNF4A,LIPC,Unknown,16603721,Trrust,liver
SREBF2,LIPC,Unknown,15721010,Trrust,liver
USF1,LIPC,Unknown,15721010;19416648,Trrust,liver
USF2,LIPC,Unknown,19416648,Trrust,liver
NFKB1,LPL,Activation,20200316,Trrust,vasculature
PPARA,LPL,Activation,10634806,Trrust,"leukocytes,liver"
PPARD,LPL,Activation,10634806,Trrust,"leukocytes,liver"
RELA,LPL,Activation,20200316,Trrust,vasculature
SP1,LPL,Unknown,18793716;9788252,Trrust,leukocytes
HNF1A,MTTP,Activation,22357705,Trrust,"kidney,liver,colon"
HNF4A,MTTP,Activation,22357705,Trrust,"kidney,liver,colon"
NR2F1,MTTP,Repression,22357705,Trrust,"kidney,liver,colon"
SREBF2,MTTP,Repression,10455139,Trrust,liver
NR1H4,PLTP,Unknown,10998425,Trrust,liver
NR1H4,SCARB1,Activation,20956002,Trrust,liver
SPI1,SCARB1,Unknown,8007948,Trrust,"leukocytes,liver"
STAT1,SCARB1,Unknown,17998316,Trrust,liver
STAT2,SCARB1,Unknown,17998316,Trrust,liver
PPARA,ACOX1,Unknown,20110263,Trrust,liver
NR1I2,CYP3A4,Activation,12601364;15269186;18540626;19232333;21342487,Trrust,colon
KLF10,PTGS1,Activation,23178857,Trrust,liver
APC,PTGS2,Repression,10772828;12566320,Trrust,"liver,colon"
APC,PTGS2,Unknown,11396184,Trrust,"rectum,colon"
ATF2,PTGS2,Unknown,11278336;12057991,Trrust,"prostate,mammarygland,colon,lung,uterus"
ATF4,PTGS2,Unknown,21244365,Trrust,liver
CDX1,PTGS2,Activation,21613300,Trrust,uterus
CDX2,PTGS2,Repression,15013430,Trrust,"rectum,colon"
CEBPB,PTGS2,Repression,18820298,Trrust,skin
CEBPB,PTGS2,Unknown,10956548;16699180;17556653;7559624,Trrust,"vasculature,blood,skin,placenta,colon,rectum,leukocytes"
CTNNB1,PTGS2,Unknown,11396184,Trrust,"rectum,colon"
DR1,PTGS2,Activation,11840453,Trrust,fibroblasts
EGR1,PTGS2,Repression,15517885,Trrust,"kidney,liver"
EGR2,PTGS2,Unknown,24007274,Trrust,"bonemarrow,stemcells,adiposetissue"
ELF3,PTGS2,Unknown,15794755,Trrust,"leukocytes,vasculature"
EP300,PTGS2,Activation,12471036,Trrust,skin
EP300,PTGS2,Unknown,12057991;17237818;17395887,Trrust,"lung,uterus"
ETV4,PTGS2,Activation,11274170,Trrust,"mammarygland,colon"
FOS,PTGS2,Activation,9620167,Trrust,cartilage
HDAC4,PTGS2,Activation,18820298,Trrust,skin
HMGA1,PTGS2,Activation,22898640,Trrust,pancreas
ING4,PTGS2,Repression,18399550,Trrust,lung
JUN,PTGS2,Activation,15772294;18294142;9620167,Trrust,"cartilage,lung,skin"
