TF,TargetGene,Tissue,Chea,Signor,Trrust,Experiment,SPP_Pubmed,Pair,PS_frequency,Tissue_frequency,PS_Confidence,Tissue_Confidence
BACH1,TM7SF2,stemcells,,,,BACH1 IP - H1 cells,,BACH1 -> TM7SF2,2,2,low,low
BATF,TM7SF2,leukocytes,,,,BATF IP - GM12878 cells,24076218,BATF -> TM7SF2,1,1,low,low
BCL3,TM7SF2,leukocytes,,,,"BCL3 IP - K562 cells, BCL3 IP - GM12878 cells",,BCL3 -> TM7SF2,2,2,low,low
BCL3,TM7SF2,lung,,,,BCL3 IP - A549 cells,,BCL3 -> TM7SF2,2,2,low,low
BHLHE40,TM7SF2,leukocytes,,,,"BHLHE40 IP - GM12878 cells, BHLHE40 IP - K562 cells",,BHLHE40 -> TM7SF2,2,2,low,low
BHLHE40,TM7SF2,liver,,,,BHLHE40 IP - HepG2 cells,,BHLHE40 -> TM7SF2,2,2,low,low
CEBPB,TM7SF2,colon,,,,CEBPB IP - HCT116 cells,24076218,CEBPB -> TM7SF2,6,7,medium,medium
CEBPB,TM7SF2,leukocytes,,,,"CEBPB ChIP-Seq - K562, CEBPB IP - HL-60 cells, Rep 2 , CEBPB IP - HL-60 cells, Rep 1 , CEBPB IP - K562 cells",,CEBPB -> TM7SF2,6,7,medium,medium
CEBPB,TM7SF2,liver,,,,"CEBPB IP - HepG2 cells, CEBPB ChIP-Seq - HepG2, CEBPB IP | FORSK - HepG2 cells",,CEBPB -> TM7SF2,6,7,medium,medium
CEBPB,TM7SF2,lung,,,,"CEBPB ChIP-Seq - A549, CEBPB ChIP-Seq - IMR90, CEBPB IP - A549 cells",,CEBPB -> TM7SF2,6,7,medium,medium
CEBPB,TM7SF2,mammarygland,,,,CEBPB IP - MCF7 cells,,CEBPB -> TM7SF2,6,7,medium,medium
CEBPB,TM7SF2,stemcells,,,,CEBPB IP - H1 cells,,CEBPB -> TM7SF2,6,7,medium,medium
CEBPB,TM7SF2,uterus,,,,"CEBPB ChIP-Seq - HeLaS3, CEBPB IP - ECC1 cells",,CEBPB -> TM7SF2,6,7,medium,medium
CREB1,TM7SF2,colon,,,,CREB1 IP,,CREB1 -> TM7SF2,7,7,high,medium
CREB1,TM7SF2,leukocytes,,,,"CREB1 IP - K562 cells, CREB1 IP - GM12878 cells",,CREB1 -> TM7SF2,7,7,high,medium
